reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
samsung-galaxya355g,samsung-galaxya355g-8go-128gb,Galaxy A35 5G (8/128Go),https://www.samsungshop.tn/galaxy-a/2031-3855-galaxy-a35-5g-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a35 5g,8go,128gb,,,samsungshop,INSTOCK,1499.000,2024-06-13
samsung-galaxya555g,samsung-galaxya555g-8go-256gb,Galaxy A55 5G (8/256Go),https://www.samsungshop.tn/galaxy-a/2030-3830-samsung-galaxy-a55-prix-tunisie.html#/14-couleur-bleu,samsung,galaxy a55 5g,8go,256gb,,,samsungshop,INSTOCK,1999.000,2024-06-13
samsung-galaxya255g,samsung-galaxya255g-8go-256gb,Galaxy A25 5G (8/256Go),https://www.samsungshop.tn/galaxy-a/2009-3749-galaxy-a25-prix-tunisie.html#/14-couleur-bleu,samsung,galaxy a25 5g,8go,256gb,,,samsungshop,INSTOCK,1399.000,2024-06-13
samsung-galaxya255g,samsung-galaxya255g-6go-128gb,Galaxy A25 5G (6/128Go),https://www.samsungshop.tn/galaxy-a/2008-3746-galaxy-a25-5g-6128go.html#/46-couleur-jaune,samsung,galaxy a25 5g,6go,128gb,,,samsungshop,INSTOCK,1199.000,2024-06-13
samsung-galaxya15,samsung-galaxya15-8go-256gb,Galaxy A15 (8/256Go),https://www.samsungshop.tn/galaxy-a/2007-3758-galaxy-a15-prix-tunisie.html#/14-couleur-bleu,samsung,galaxy a15,8go,256gb,,,samsungshop,INSTOCK,949.000,2024-06-13
samsung-galaxya15,samsung-galaxya15-6go-128gb,Galaxy A15 (6/128Go),https://www.samsungshop.tn/galaxy-a/2006-3756-galaxy-a15-6128go.html#/14-couleur-bleu,samsung,galaxy a15,6go,128gb,,,samsungshop,INSTOCK,749.000,2024-06-13
samsung-galaxya15,samsung-galaxya15-4go-128gb,Galaxy A15 (4/128Go),https://www.samsungshop.tn/galaxy-a/2005-3754-galaxy-a15-4128go.html#/54-couleur-bleu_noir,samsung,galaxy a15,4go,128gb,,,samsungshop,INSTOCK,699.000,2024-06-13
samsung-galaxya05s,samsung-galaxya05s-6go-128gb,Galaxy A05s (6/128Go),https://www.samsungshop.tn/galaxy-a/1979-3716-galaxy-a05s-6128go.html#/28-couleur-silver,samsung,galaxy a05s,6go,128gb,,,samsungshop,INSTOCK,649.000,2024-06-13
samsung-galaxya05s,samsung-galaxya05s-4go-128gb,Galaxy A05s (4/128Go),https://www.samsungshop.tn/galaxy-a/1978-3720-galaxy-a05s-4128go.html#/41-couleur-violet,samsung,galaxy a05s,4go,128gb,,,samsungshop,INSTOCK,599.000,2024-06-13
samsung-galaxys24,samsung-galaxys24,Galaxy S24,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1976-3710-galaxy-s24-tunisie.html#/46-couleur-jaune,samsung,galaxy s24,,,,,samsungshop,INSTOCK,3999.000,2024-06-13
samsung-galaxys24plus,samsung-galaxys24plus,Galaxy S24 Plus,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1974-3706-galaxy-s24-plus.html#/41-couleur-violet,samsung,galaxy s24 plus,,,,,samsungshop,INSTOCK,4599.000,2024-06-13
samsung-galaxys24ultra,samsung-galaxys24ultra,Galaxy S24 Ultra,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1972-3704-galaxy-s24-ultra-prix-tunisie.html#/44-couleur-gris,samsung,galaxy s24 ultra,,,,,samsungshop,INSTOCK,5999.000,2024-06-13
samsung-galaxya05,samsung-galaxya05-6go-128gb,Galaxy A05 (6/128 Go),https://www.samsungshop.tn/galaxy-a/1962-3695-galaxy-a05-6128-go-PRIX-TUNISIE.html#/11-couleur-noir,samsung,galaxy a05,6go,128gb,,,samsungshop,INSTOCK,549.000,2024-06-13
